序号,开课单位,课程名称,课程时长,课程负载,内容类型,课程分类,参加人数,课程链接
290,东北大学,资源经济学,16周,3-5小时每周,视频 文档 随堂测验 富文本,经济管理,1416,http://www.icourse163.org/course/NEU-1001640003
291,东北大学,采矿学,16周,3-5小时每周,视频 文档 随堂测验 富文本,工学,3170,http://www.icourse163.org/course/NEU-1001639005
292,东北大学,机械原理,10周,5小时每周,视频 文档 随堂测验 讨论,工学,5520,http://www.icourse163.org/course/NEU-1001640002
293,东北大学,理论力学,13周,4-5小时每周,视频 文档 随堂测验 讨论,工学,4357,http://www.icourse163.org/course/NEU-1001639003
294,东北大学,复变函数与积分变换,5周,7-9小时每周,视频 文档 随堂测验 富文本 讨论,理学,2968,http://www.icourse163.org/course/NEU-1001638003
295,东北大学,线性代数,12周,4,视频 文档 随堂测验 富文本,理学,10539,http://www.icourse163.org/course/NEU-1001638002
296,东北大学,外国民商案例选读,8周,3-5小时每周,视频 文档 讨论,法学,2692,http://www.icourse163.org/course/NEU-1001637002
297,东北大学,英语语言学概论,10周,2-3小时每周,视频 随堂测验 讨论,外语,11858,http://www.icourse163.org/course/NEU-1001639001
298,同济大学,VisualBasic6.0程序设计CAP,14周,4小时每周,视频 文档 随堂测验 富文本 讨论,计算机,11989,http://www.icourse163.org/course/TONGJI-1001627005
299,同济大学,微积分CAP,10周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,17000,http://www.icourse163.org/course/TONGJI-1001615007
300,同济大学,大学计算机基础CAP,12周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,计算机,26362,http://www.icourse163.org/course/TONGJI-1001615008
301,同济大学,多媒体技术与应用,15周,4小时每周,视频 文档 随堂测验 富文本 讨论,计算机,4960,http://www.icourse163.org/course/TONGJI-1002215007
302,同济大学,土木工程施工基本原理,18周,2小时/每周,视频 文档 随堂测验 富文本 讨论,工学,10159,http://www.icourse163.org/course/TONGJI-89003
303,同济大学,灾难逃生与自救,15周,1-2小时/周,视频 随堂测验 讨论,生命科学,5884,http://www.icourse163.org/course/TONGJI-1001909011
304,同济大学,普通物理,16周,3-4小时每周,视频 文档 富文本 讨论,理学,5482,http://www.icourse163.org/course/TONGJI-1001691002
305,同济大学,VisualBasic6.0程序设计,14周,4,视频 文档 随堂测验 富文本 讨论,计算机,6013,http://www.icourse163.org/course/TONGJI-1001543001
306,同济大学,大学物理5：量子物理,8周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,4964,http://www.icourse163.org/course/TONGJI-1001672011
307,同济大学,大学物理4：光学,9周,4-6小时每周,视频 文档 随堂测验 富文本 讨论,理学,5444,http://www.icourse163.org/course/TONGJI-1001675008
308,同济大学,高等数学（四）,7周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,65461,http://www.icourse163.org/course/TONGJI-1001569002
309,同济大学,概率论与数理统计,19周,3-4小时每周,视频,理学,13520,http://www.icourse163.org/course/TONGJI-481002
310,同济大学,线性代数,16周,3-5小时每周,视频 随堂测验,理学,44139,http://www.icourse163.org/course/TONGJI-481001
311,同济大学,大学计算机基础,20周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,计算机,24108,http://www.icourse163.org/course/TONGJI-47017
312,同济大学,高等数学（二）,8周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,83398,http://www.icourse163.org/course/TONGJI-217012
313,同济大学,VisualBasic.NET程序设计进阶,12周,4,视频 文档 随堂测验 富文本 讨论,计算机,3086,http://www.icourse163.org/course/TONGJI-371001
314,同济大学,VisualBasic.NET程序设计入门,10周,4,视频 文档 随堂测验 富文本 讨论,计算机,5553,http://www.icourse163.org/course/TONGJI-370002
315,同济大学,建筑评论,15周,2-3小时每周,视频 随堂测验 讨论,艺术设计/工学,16239,http://www.icourse163.org/course/TONGJI-309002
316,同济大学,高等数学（三）,6周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,65803,http://www.icourse163.org/course/TONGJI-284001
317,同济大学,外科手术技能教学,13周,3学时每周,视频 文档 随堂测验 富文本,生命科学,11005,http://www.icourse163.org/course/TONGJI-88003
318,同济大学,风景园林景观设计原理,12周,1-2,视频 文档 随堂测验 富文本 讨论,艺术设计/工学,15432,http://www.icourse163.org/course/TONGJI-88009
319,同济大学,风景园林景观规划原理,12周,1-2,视频 文档 随堂测验 富文本 讨论,艺术设计/工学,5843,http://www.icourse163.org/course/TONGJI-88008
320,同济大学,风景园林景观规划设计基本原理,12周,1-2,视频 文档 随堂测验 富文本 讨论,艺术设计/工学,7620,http://www.icourse163.org/course/TONGJI-88007
321,同济大学,工程项目管理,16周,2-3小时每周,视频 文档 随堂测验 讨论,经济管理/工学,23956,http://www.icourse163.org/course/TONGJI-46008
322,同济大学,高等数学（一）,10周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,231552,http://www.icourse163.org/course/TONGJI-53004
323,同济大学,大学物理4：光学、近代物理,9周,4-6小时每周,视频 文档 随堂测验 富文本 讨论,理学,8067,http://www.icourse163.org/course/TONGJI-45007
324,同济大学,大学物理2：振动与波动、热学,8周,3-5,视频 文档 随堂测验 富文本 讨论,理学,7129,http://www.icourse163.org/course/TONGJI-44005
325,同济大学,大学物理1：力学、相对论,10周,2-4小时每周,视频 文档 随堂测验 富文本 讨论,理学,9063,http://www.icourse163.org/course/TONGJI-45003
326,同济大学,VisualBasic.NET程序设计,14周,3-5小时/周,视频 文档 随堂测验 富文本 讨论,计算机,5808,http://www.icourse163.org/course/TONGJI-89002
327,同济大学,电工学,14周,3-5小时,视频 文档 随堂测验 富文本 讨论,工学,9564,http://www.icourse163.org/course/TONGJI-88002
328,同济大学,城市总体规划,9周,2-4小时每周,视频 文档 随堂测验 富文本 讨论,经济管理/工学,14722,http://www.icourse163.org/course/TONGJI-53001
329,同济大学,大学物理3：电磁学,12周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,7938,http://www.icourse163.org/course/TONGJI-44006
330,华东师范大学,数学分析（六）,,4-6小时每周,视频 文档 随堂测验 讨论,理学,2077,http://www.icourse163.org/course/ECNU-1002332024
331,华东师范大学,信息化教学设计,10周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,教育教学,2549,http://www.icourse163.org/course/ECNU-1002142003
332,华东师范大学,数学分析（五）,10周,4-5小时每周,视频 文档 随堂测验 讨论,理学,8330,http://www.icourse163.org/course/ECNU-1002134003
333,华东师范大学,环境问题观察,10周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,工学/生命科学,3985,http://www.icourse163.org/course/ECNU-1001850004
334,华东师范大学,民族声乐进阶密码——石春轩子教学示范课堂,8周,30-40分钟每周,视频 文档 讨论,艺术设计,5205,http://www.icourse163.org/course/ECNU-1001609001
335,华东师范大学,数学分析（四）,10周,4-5,视频 文档 随堂测验 讨论,理学,15305,http://www.icourse163.org/course/ECNU-1001634006
336,华东师范大学,数学分析（三）,10周,4-5,视频 文档 随堂测验 讨论,理学,13233,http://www.icourse163.org/course/ECNU-1001635001
337,华东师范大学,数学分析（二）,10周,4-5小时每周,视频 文档 随堂测验 讨论,理学,12685,http://www.icourse163.org/course/ECNU-1001622001
338,华东师范大学,数学分析（一）,10周,4-5小时每周,视频 文档 随堂测验 讨论,理学,22995,http://www.icourse163.org/course/ECNU-449002
339,华东师范大学,经济地理学,18周,3-5小时每周,视频 文档 随堂测验 讨论,经济管理,8282,http://www.icourse163.org/course/ECNU-1001608001
340,华东师范大学,计量地理学,16周,3-6,视频 文档 随堂测验 讨论,理学,1946,http://www.icourse163.org/course/ECNU-1001591014
341,华东师范大学,冷战史专题,8周,3小时每周,视频 文档 随堂测验 讨论,文学历史,15358,http://www.icourse163.org/course/ECNU-448001
342,华东师范大学,波动光学,12周,4-6,视频 文档 随堂测验 富文本 讨论,理学,2520,http://www.icourse163.org/course/ECNU-449001
343,华东师范大学,人体科学,12周,4小时每周,视频 文档 随堂测验 讨论,生命科学,5108,http://www.icourse163.org/course/ECNU-44003
344,华东师范大学,体育与健康,14周,1-2小时每周,视频 文档 随堂测验 富文本 讨论,生命科学/教育教学,10892,http://www.icourse163.org/course/ECNU-45002
345,中国人民大学,数据库系统概论（新技术篇）,12周,2-3,视频 随堂测验 富文本 讨论,计算机,6847,http://www.icourse163.org/course/RUC-1001965017
346,中国人民大学,数据库系统概论（高级篇）,17周,2-3小时,视频 文档 随堂测验 富文本 讨论,计算机,6518,http://www.icourse163.org/course/RUC-1001655006
347,中国人民大学,数据库系统概论（基础篇）,18周,2-3小时每周,视频 随堂测验 富文本 讨论,计算机,17566,http://www.icourse163.org/course/RUC-488001
348,东南大学,VLSI设计基础（数字集成电路设计基础）,10周,2小时,视频 文档 随堂测验 富文本 讨论,,855,http://www.icourse163.org/course/SEU-1001752359
349,东南大学,大学语文CAP,12周,3小时每周,视频 文档 随堂测验 富文本 讨论,文学历史,25248,http://www.icourse163.org/course/SEU-1001615002
350,东南大学,大学物理专题：振动与波、光学、热学、量子物理,16周,1-3小时每周,视频 文档 随堂测验 富文本 讨论,理学,5035,http://www.icourse163.org/course/SEU-1001966042
351,东南大学,数字信号处理,16周,3学时每周,视频 文档 随堂测验 讨论,,2249,http://www.icourse163.org/course/SEU-1001754347
352,东南大学,数字电路与系统,16周,4,视频 文档 随堂测验 富文本 讨论,工学,5546,http://www.icourse163.org/course/SEU-1001756013
353,东南大学,微机系统与接口,待定周,待定,视频 文档 随堂测验 讨论,,551,http://www.icourse163.org/course/SEU-1001755402
354,东南大学,电工电子实验基础,待定周,待定,视频 文档 随堂测验 富文本 讨论,,813,http://www.icourse163.org/course/SEU-1001754355
355,东南大学,介入放射学,待定周,待定,视频 文档 随堂测验 讨论,,235,http://www.icourse163.org/course/SEU-1001754353
356,东南大学,病理与健康,14周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,,2255,http://www.icourse163.org/course/SEU-1001755397
357,东南大学,路基路面工程,14周,4,视频 文档 随堂测验 讨论,,1548,http://www.icourse163.org/course/SEU-1001753401
358,东南大学,交通管理与控制,16周,1-2小时每周,视频 文档 富文本 讨论,工学,916,http://www.icourse163.org/course/SEU-1001755394
359,东南大学,医学成像原理,15周,3,视频 文档 随堂测验 富文本 讨论,,518,http://www.icourse163.org/course/SEU-1001752363
360,东南大学,预备性物理实验,待定周,待定,视频 文档 随堂测验 富文本 讨论,,525,http://www.icourse163.org/course/SEU-1001752362
361,东南大学,线性代数,13周,2小时每周,视频 文档,,3296,http://www.icourse163.org/course/SEU-1001752361
362,东南大学,电子电路基础,待定周,待定,视频 文档 随堂测验 讨论,,570,http://www.icourse163.org/course/SEU-1001752360
363,东南大学,材料力学,待定周,待定,视频 文档 随堂测验 讨论,,866,http://www.icourse163.org/course/SEU-1001752358
364,东南大学,建筑设计基础,待定周,待定,视频 文档 随堂测验 富文本 讨论,,3639,http://www.icourse163.org/course/SEU-1001754345
365,东南大学,学术交流英语,15周,2小时 /每周,视频 文档 随堂测验 讨论,外语,20673,http://www.icourse163.org/course/SEU-1001664002
366,东南大学,信号与系统,17周,4小时/周,视频 文档 随堂测验 富文本 讨论,工学,7880,http://www.icourse163.org/course/SEU-204001
367,东南大学,大学语文,12周,3小时每周,视频 文档 随堂测验 富文本 讨论,文学历史,14523,http://www.icourse163.org/course/SEU-33001
368,东南大学,传统文化与中医养生,10周,4小时每周,视频 文档 随堂测验 富文本 讨论,生命科学,8423,http://www.icourse163.org/course/SEU-32004
369,中国科学技术大学,文献管理与信息分析,16周,3,视频 文档 随堂测验 富文本 讨论,经济管理,7444,http://www.icourse163.org/course/USTC-9002
370,厦门大学,无机化学-原理Ⅱ,7周,3小时/周,视频 随堂测验 讨论,理学,1496,http://www.icourse163.org/course/XMU-1002083011
371,厦门大学,大数据技术原理与应用,13周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,计算机,18973,http://www.icourse163.org/course/XMU-1002335004
372,厦门大学,创业投资,10周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,经济管理,6699,http://www.icourse163.org/course/XMU-1002330019
373,厦门大学,大学英语写作基础,10周,3小时/周,视频 文档 随堂测验 富文本 讨论,外语,20871,http://www.icourse163.org/course/XMU-1002329018
374,厦门大学,大学英语进阶课程,12周,3小时/周,视频 文档 随堂测验 富文本 讨论,外语,17595,http://www.icourse163.org/course/XMU-1002332006
375,厦门大学,微波技术基础,15周,3.5~4.5,视频 文档 随堂测验 讨论,工学,2544,http://www.icourse163.org/course/XMU-1001778008
376,厦门大学,无机化学-原理Ⅰ,6周,2-5小时每周,视频 文档 随堂测验,理学,4413,http://www.icourse163.org/course/XMU-1002043009
377,厦门大学,如何识别和评估创业机会,5周,1-2小时每周,视频 文档 随堂测验 讨论,经济管理,5854,http://www.icourse163.org/course/XMU-1002043005
378,厦门大学,针灸学,12周,2小时每周,视频 文档 随堂测验 富文本 讨论,生命科学,13747,http://www.icourse163.org/course/XMU-1002010028
379,厦门大学,普通生物学实验,待定周,待定,视频 文档 随堂测验 富文本 讨论,生命科学,2665,http://www.icourse163.org/course/XMU-1001805004
380,厦门大学,现代遗传学,18周,3-5小时每周,视频 文档,生命科学,6422,http://www.icourse163.org/course/XMU-1001807001
381,厦门大学,微生物学,16周,2-3小时,视频 随堂测验 讨论,生命科学,5671,http://www.icourse163.org/course/XMU-1001773005
382,厦门大学,微生物学与免疫学实验,16周,3,视频 文档 随堂测验 富文本 讨论,生命科学,4740,http://www.icourse163.org/course/XMU-1001769002
383,厦门大学,遗传与分子生物学实验,13周,3小时每周,视频 文档 随堂测验 讨论,生命科学,4615,http://www.icourse163.org/course/XMU-1001768001
384,厦门大学,细胞生物学,14周,3,视频 文档 随堂测验 讨论,生命科学,6571,http://www.icourse163.org/course/XMU-1001764007
385,厦门大学,高等代数（上）,11周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,11157,http://www.icourse163.org/course/XMU-1001951004
386,厦门大学,数学建模,10周,4小时,视频 文档 随堂测验 讨论,理学,37734,http://www.icourse163.org/course/XMU-1001556009
387,厦门大学,C程序设计基础,14周,3-4小时每周,视频 文档 随堂测验 富文本 讨论,计算机,16649,http://www.icourse163.org/course/XMU-1001771003
388,厦门大学,电气控制实践训练,16周,3~4小时每周,视频 文档 随堂测验 富文本 讨论,工学,6338,http://www.icourse163.org/course/XMU-1001770002
389,厦门大学,嵌入式系统与实验,14周,2个小时每周,视频 文档 随堂测验 讨论,计算机,5401,http://www.icourse163.org/course/XMU-1001766012
390,厦门大学,偏微分方程,8周,4小时每周,视频 文档 随堂测验 讨论,理学,4443,http://www.icourse163.org/course/XMU-1001764006
391,山东大学,《史通》导读,18周,100-120分钟每周,视频,文学历史,5281,http://www.icourse163.org/course/SDU-1002223005
392,山东大学,高等数学—微积分CAP,10周,4,视频 文档 随堂测验 富文本 讨论,理学,20225,http://www.icourse163.org/course/SDU-1001617002
393,山东大学,《文心雕龙》导读,14周,2-3小时每周,视频 随堂测验 讨论,文学历史,8717,http://www.icourse163.org/course/SDU-1002224002
394,山东大学,数学竞赛选讲,8周,3-5小时每周,视频 文档 随堂测验 讨论,理学,6054,http://www.icourse163.org/course/SDU-1002193002
395,山东大学,设计史话,10周,3小时每周,视频 文档 富文本 讨论,艺术设计,9277,http://www.icourse163.org/course/SDU-1002105005
396,山东大学,辐射与防护,15周,1-1.5小时每周,视频 文档 富文本,生命科学,2066,http://www.icourse163.org/course/SDU-1002015021
397,山东大学,大学生性健康修养,18周,2小时每周,视频 文档 随堂测验 富文本 讨论,生命科学,11396,http://www.icourse163.org/course/SDU-1002008001
398,山东大学,大学计算机实验,13周,3,视频 文档 随堂测验 富文本 讨论,计算机,8007,http://www.icourse163.org/course/SDU-1001981020
399,山东大学,概率论与数理统计,16周,3-5小时每周,视频 文档 随堂测验 讨论,理学,11567,http://www.icourse163.org/course/SDU-1001945006
400,山东大学,生物信息学,16周,2-2.5小时每周,视频 文档 随堂测验 富文本 讨论,生命科学,13487,http://www.icourse163.org/course/SDU-1001907001
401,山东大学,高等数学—微积分(2),17周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,23883,http://www.icourse163.org/course/SDU-192001
402,山东大学,系统解剖学,12周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,生命科学,17012,http://www.icourse163.org/course/SDU-476001
403,山东大学,人人爱设计（下）,10周,2小时每周,视频 文档 富文本 讨论,艺术设计,16714,http://www.icourse163.org/course/SDU-447002
404,山东大学,人人爱设计（上）,10周,2小时每周,视频 文档 富文本 讨论,艺术设计,40203,http://www.icourse163.org/course/SDU-450001
405,山东大学,医学生理学,13周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,生命科学,11477,http://www.icourse163.org/course/SDU-437005
406,山东大学,线性代数解题技巧及典型题解析,15周,3-4.5,视频 文档 随堂测验 讨论,理学,13214,http://www.icourse163.org/course/SDU-400003
407,山东大学,高等数学—微积分(1),17周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,13976,http://www.icourse163.org/course/SDU-190001
408,山东大学,工程材料与机械制造基础,13周,3-5小时每周,视频 文档 随堂测验 讨论,工学,4802,http://www.icourse163.org/course/SDU-306001
409,山东大学,音乐导聆,14周,每周授课45分钟，测验30分钟。,视频 文档,艺术设计,8382,http://www.icourse163.org/course/SDU-212004
410,山东大学,国际贸易学,13周,1.5小时每周,视频 文档 随堂测验 富文本 讨论,经济管理,10093,http://www.icourse163.org/course/SDU-199002
411,山东大学,护理学基础（上篇）,10周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,生命科学,7234,http://www.icourse163.org/course/SDU-195001
412,山东大学,药理学,10周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,生命科学,15100,http://www.icourse163.org/course/SDU-191001
413,山东大学,大学计算机--计算思维的视角,15周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,计算机,6155,http://www.icourse163.org/course/SDU-100001
414,山东大学,大学物理-相对论和量子物理,8周,2-4小时每周,视频 文档 随堂测验 富文本 讨论,理学,4594,http://www.icourse163.org/course/SDU-98001
415,山东大学,大学物理-电磁学和光学,10周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,6335,http://www.icourse163.org/course/SDU-97001
416,山东大学,大学物理-力学和热学,11周,2-4小时每周,视频 文档 随堂测验 富文本 讨论,理学,3177,http://www.icourse163.org/course/SDU-96002
417,山东大学,神韵诗研究,16周,3小时每周,视频 文档 随堂测验 富文本 讨论,文学历史,4471,http://www.icourse163.org/course/SDU-21003
418,山东大学,局部解剖学,10周,6小时每周,视频 文档 随堂测验 富文本 讨论,生命科学,9285,http://www.icourse163.org/course/SDU-20006
419,山东大学,线性代数,17周,3-4.5,视频 文档 随堂测验 富文本 讨论,理学,22113,http://www.icourse163.org/course/SDU-55001
420,中国海洋大学,做好专业选择题——高中生涯教育,21周,1-2小时每周,视频,法学,1326,http://www.icourse163.org/course/OUC-1002245010
421,中国海洋大学,数据结构,13周,4小时每周,视频 文档 随堂测验 富文本 讨论,计算机,10110,http://www.icourse163.org/course/OUC-70004
422,中国海洋大学,营运资金管理,13周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,经济管理,5568,http://www.icourse163.org/course/OUC-1001959006
423,中国海洋大学,求职OMG-大学生就业指导与技能开发,12周,1小时每周,视频 讨论,教育教学,9663,http://www.icourse163.org/course/OUC-1001769006
424,中国海洋大学,职熵--大学生职业素养与能力拓展,13周,2-3小时每周,视频,教育教学,3099,http://www.icourse163.org/course/OUC-1001684002
425,中国海洋大学,食品化学,18周,1-2小时每周,视频,生命科学,5284,http://www.icourse163.org/course/OUC-1001645002
426,中国海洋大学,数学思想与文化,22周,1-2小时每周,视频 文档 随堂测验 讨论,理学,3935,http://www.icourse163.org/course/OUC-1001619004
427,中国海洋大学,《道德经》的智慧启示,14周,3-5小时/周,视频 文档 随堂测验 富文本 讨论,文学历史/哲学,23635,http://www.icourse163.org/course/OUC-495005
428,中国海洋大学,《世说新语》的国学密码解析,14周,2-3小时/周,视频 文档 随堂测验 富文本 讨论,文学历史,5547,http://www.icourse163.org/course/OUC-495006
429,中国海洋大学,创行-大学生创新创业实务,16周,4小时每周,视频 随堂测验 讨论,经济管理/教育教学,5374,http://www.icourse163.org/course/OUC-492005
430,中国海洋大学,世界优秀影片赏析,8周,2-3小时每周,视频 讨论,艺术设计,9872,http://www.icourse163.org/course/OUC-495004
431,中国海洋大学,电影鉴赏,8周,2-3小时每周,视频 随堂测验 讨论,艺术设计,2643,http://www.icourse163.org/course/OUC-493006
432,武汉大学,数字图像处理,,待定,视频 文档 随堂测验 富文本 讨论,工学,2209,http://www.icourse163.org/course/WHU-1002332010
433,武汉大学,微观经济学CAP,14周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,经济管理,52621,http://www.icourse163.org/course/WHU-1001623001
434,武汉大学,电磁场与电磁波,待定周,待定,视频 讨论,工学,7264,http://www.icourse163.org/course/WHU-1002084011
435,武汉大学,解剖与临床,16周,2-4小时每周,视频 文档 随堂测验 富文本 讨论,生命科学,11955,http://www.icourse163.org/course/WHU-24007
436,武汉大学,马克思主义哲学原理精粹九讲,9周,3-4小时每周,视频 文档 随堂测验 讨论,哲学,11713,http://www.icourse163.org/course/WHU-21014
437,武汉大学,材料防护与资源效益,6周,2-3小时每周,视频 文档,工学,603,http://www.icourse163.org/course/WHU-1002141005
438,武汉大学,AIDS and I ──艾滋病与我,4周,0.5-1小时每周,视频 随堂测验 讨论,生命科学,3089,http://www.icourse163.org/course/WHU-1002046011
439,武汉大学,世界华文文学经典欣赏,12周,1.5-2小时每周,视频 文档 随堂测验 富文本 讨论,文学历史,10121,http://www.icourse163.org/course/WHU-1001690001
440,武汉大学,思想道德修养与法律基础,12周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,法学,26622,http://www.icourse163.org/course/WHU-1001717005
441,武汉大学,中国近现代史纲要,12周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,法学,16291,http://www.icourse163.org/course/WHU-1001717004
442,武汉大学,物理化学（上）,10周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,理学,7927,http://www.icourse163.org/course/WHU-214001
443,武汉大学,物理化学（下）,10周,2-4小时每周,视频 文档 随堂测验 富文本 讨论,理学,4163,http://www.icourse163.org/course/WHU-216009
444,武汉大学,图像复制原理,10周,3-5学时每周,视频 文档 随堂测验 讨论,工学,1336,http://www.icourse163.org/course/WHU-1001662002
445,武汉大学,文学欣赏与批评,11周,2小时每周,视频 文档 随堂测验 富文本 讨论,文学历史,14183,http://www.icourse163.org/course/WHU-20021
446,武汉大学,马克思主义基本原理概论,12周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,法学,14805,http://www.icourse163.org/course/WHU-1001717003
447,武汉大学,毛泽东思想和中国特色社会主义理论体系概论,12周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,法学,16813,http://www.icourse163.org/course/WHU-1001716008
448,武汉大学,环境变迁与人类生育力改变,12周,1-2小时每周,视频 随堂测验 讨论,生命科学,1838,http://www.icourse163.org/course/WHU-1001588001
449,武汉大学,科技与考古,8周,3-5小时每周,视频 文档 富文本 讨论,文学历史,12703,http://www.icourse163.org/course/WHU-1001555021
450,武汉大学,传感器技术,12周,2-3小时每周,视频 文档 随堂测验,工学,7854,http://www.icourse163.org/course/WHU-1001549001
451,武汉大学,数据结构,16周,3-5小时每周,视频 文档 随堂测验,计算机,26389,http://www.icourse163.org/course/WHU-1001539003
452,武汉大学,方言与中国文化,,2-3小时每周,视频 文档 随堂测验 富文本 讨论,文学历史,870,http://www.icourse163.org/course/WHU-23002
453,武汉大学,佛教文化,16周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,哲学,11591,http://www.icourse163.org/course/WHU-1001533003
454,武汉大学,《说文解字》与上古社会,13周,1小时每周,视频 文档 随堂测验 富文本 讨论,文学历史,10525,http://www.icourse163.org/course/WHU-500004
455,武汉大学,营养学,11周,2-4h每周,视频 文档 随堂测验 富文本 讨论,生命科学,32824,http://www.icourse163.org/course/WHU-490001
456,武汉大学,宇宙新概念,17周,3~5小时每周,视频 文档 随堂测验 讨论,理学,9655,http://www.icourse163.org/course/WHU-486001
457,武汉大学,精密机械设计,8周,3-5小时每周,视频 文档 随堂测验 讨论,工学,2918,http://www.icourse163.org/course/WHU-485001
458,武汉大学,简明世界史（二）,10周,2-3,视频 文档 随堂测验 富文本 讨论,文学历史,10358,http://www.icourse163.org/course/WHU-230009
459,武汉大学,简明世界史（一）,10周,2-3,视频 文档 随堂测验 富文本 讨论,文学历史,26244,http://www.icourse163.org/course/WHU-24001
460,武汉大学,行政法学,18周,1小时每周,视频,法学,5188,http://www.icourse163.org/course/WHU-212005
461,武汉大学,急救常识,4周,每周2小时,视频 文档 随堂测验 富文本 讨论,生命科学,13343,http://www.icourse163.org/course/WHU-85001
462,武汉大学,信息检索,12周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,计算机,11369,http://www.icourse163.org/course/WHU-29001
463,武汉大学,古文字学,15周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,文学历史,10487,http://www.icourse163.org/course/WHU-24002
464,武汉大学,微观经济学,13周,2-4小时每周,视频 文档 随堂测验 富文本 讨论,经济管理,31226,http://www.icourse163.org/course/WHU-23003
465,武汉大学,分子生物学,18周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,生命科学,9133,http://www.icourse163.org/course/WHU-21012
466,武汉大学,信息管理学基础,17周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,经济管理,6822,http://www.icourse163.org/course/WHU-21013
467,武汉大学,中国哲学史（先秦部分）,12周,4,视频 文档 随堂测验 富文本 讨论,哲学,79802,http://www.icourse163.org/course/WHU-20014
468,武汉大学,中国文化概论,16周,2-5小时每周,视频 文档 随堂测验 富文本 讨论,文学历史,8721,http://www.icourse163.org/course/WHU-20011
469,华中科技大学,3D工程图学,12周,3,视频 文档 富文本 讨论,工学,5993,http://www.icourse163.org/course/HUST-1001665003
470,华中科技大学,内科护理学,待定周,待定,视频 文档 讨论,生命科学,4506,http://www.icourse163.org/course/HUST-1002015001
471,华中科技大学,复变函数与积分变换,10周,3小时每周,视频 文档 随堂测验 讨论,理学,21788,http://www.icourse163.org/course/HUST-1001983008
472,华中科技大学,软件测试与质量,10周,2-4学时每周,视频 文档 随堂测验 富文本 讨论,计算机,4902,http://www.icourse163.org/course/HUST-1001907003
473,华中科技大学,电子线路设计、测试与实验（一）,12周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,工学,5701,http://www.icourse163.org/course/HUST-1001942004
474,华中科技大学,电子线路设计、测试与实验（二）,16周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,工学,4672,http://www.icourse163.org/course/HUST-1001943003
475,华中科技大学,有机化学,14周,3-5,视频 文档 随堂测验 富文本 讨论,理学,5029,http://www.icourse163.org/course/HUST-1001936008
476,华中科技大学,VB.NET程序设计,12周,2-4小时每周,视频 文档 随堂测验 富文本 讨论,计算机,5500,http://www.icourse163.org/course/HUST-1001936007
477,华中科技大学,自动控制原理（二）,12周,3-5,视频 文档 随堂测验,工学,5312,http://www.icourse163.org/course/HUST-1001932013
478,华中科技大学,数据结构,17周,2-3小时每周,视频 文档 随堂测验 讨论,计算机,15484,http://www.icourse163.org/course/HUST-1001907004
479,华中科技大学,数字电子技术基础,14周,4-5小时每周,视频 文档 随堂测验 讨论,工学,5954,http://www.icourse163.org/course/HUST-1001909001
480,华中科技大学,寄生虫病与食品安全,6周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,生命科学,3554,http://www.icourse163.org/course/HUST-1001900004
481,华中科技大学,天文漫谈,10周,3~4小时,视频 富文本 讨论,理学,6996,http://www.icourse163.org/course/HUST-1001738013
482,华中科技大学,网络与新媒体应用模式,12周,1-2小时每周,视频 文档 讨论,文学历史,8546,http://www.icourse163.org/course/HUST-1001672006
