序号,开课单位,课程名称,课程时长,课程负载,内容类型,课程分类,参加人数,课程链接
46,浙江大学,C语言程序设计CAP,10周,5-7小时每周,视频 文档 随堂测验 富文本 讨论,计算机,65903,http://www.icourse163.org/course/ZJU-1001614008
47,浙江大学,中国近现代史纲要,15周,2小时每周,视频 文档 随堂测验 富文本 讨论,法学,10403,http://www.icourse163.org/course/ZJU-21001
48,浙江大学,新媒体概论,8周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,文学历史,15464,http://www.icourse163.org/course/ZJU-21002
49,浙江大学,概率论与数理统计--习题与案例分析,16周,3－5小时每周,视频 文档 随堂测验 富文本 讨论,理学,19273,http://www.icourse163.org/course/ZJU-1001640007
50,浙江大学,面向对象程序设计——Java语言,8周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,计算机,24862,http://www.icourse163.org/course/ZJU-1001542001
51,浙江大学,零基础学Java语言,8周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,计算机,45974,http://www.icourse163.org/course/ZJU-1001541001
52,浙江大学,唐诗经典,10周,4小时每周,视频 文档 随堂测验 富文本 讨论,文学历史,17840,http://www.icourse163.org/course/ZJU-18001
53,浙江大学,概率论与数理统计,17周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,49802,http://www.icourse163.org/course/ZJU-232005
54,浙江大学,数据结构,13周,3-8小时每周,视频 文档 随堂测验 富文本 讨论,计算机,45848,http://www.icourse163.org/course/ZJU-93001
55,浙江大学,C语言程序设计进阶,8周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,计算机,40098,http://www.icourse163.org/course/ZJU-200001
56,浙江大学,程序设计入门——C语言,8周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,计算机,90767,http://www.icourse163.org/course/ZJU-199001
57,浙江大学,C语言程序设计,14周,3-5小时/周,视频 文档 随堂测验 富文本 讨论,计算机,115268,http://www.icourse163.org/course/ZJU-9001
58,浙江大学,哲学问题,16周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,哲学,24964,http://www.icourse163.org/course/ZJU-20003
59,浙江大学,管理概论,20周,3-5小时,视频 文档 富文本 讨论,经济管理,15281,http://www.icourse163.org/course/ZJU-19001
60,浙江大学,博弈论基础,11周,3小时每周,视频 文档 随堂测验 富文本 讨论,经济管理,38392,http://www.icourse163.org/course/ZJU-20001
61,复旦大学,儿科学,12周,2小时,视频 文档 随堂测验 讨论,生命科学,11934,http://www.icourse163.org/course/FUDAN-1001980005
62,复旦大学,卫生技术评估,10周,4,视频 文档 讨论,生命科学,1268,http://www.icourse163.org/course/FUDAN-1001964021
63,复旦大学,抗菌药与超级细菌——天使与魔鬼的博弈,10周,3-5小时每周,视频 随堂测验 讨论,生命科学,4200,http://www.icourse163.org/course/FUDAN-461003
64,复旦大学,全球卫生导论,10周,4,视频 文档 讨论,生命科学,1915,http://www.icourse163.org/course/FUDAN-1001781005
65,复旦大学,《新教伦理与资本主义精神》导读,6周,3,视频 文档 随堂测验 富文本 讨论,哲学,10059,http://www.icourse163.org/course/FUDAN-253001
66,复旦大学,病原生物与人类,11周,1~3小时每周,视频 文档 富文本 讨论,生命科学,3896,http://www.icourse163.org/course/FUDAN-462003
67,复旦大学,预防医学（一）,7周,4,视频 文档 随堂测验 富文本 讨论,生命科学,4137,http://www.icourse163.org/course/FUDAN-20015
68,复旦大学,预防医学（二）,8周,5,视频 文档 随堂测验 讨论,生命科学,3161,http://www.icourse163.org/course/FUDAN-149001
69,北京航空航天大学,工科数学分析（二）,18周,5,视频 文档 随堂测验 富文本 讨论,理学,6637,http://www.icourse163.org/course/BUAA-1001665002
70,北京航空航天大学,数字信号处理,13周,3-5小时每周,视频 文档 随堂测验 讨论,工学,6650,http://www.icourse163.org/course/BUAA-1001807014
71,北京航空航天大学,工科数学分析（一）,18周,5,视频 文档 随堂测验 富文本 讨论,理学,9271,http://www.icourse163.org/course/BUAA-1001606002
72,北京航空航天大学,航空燃气涡轮发动机结构设计,14周,4小时每周,视频 文档 随堂测验 富文本 讨论,工学,3017,http://www.icourse163.org/course/BUAA-1001607001
73,北京航空航天大学,机械原理学习指导与习题解析,18周,3-5小时每周,视频 文档 讨论,工学,2155,http://www.icourse163.org/course/BUAA-1001513011
74,北京航空航天大学,机械原理,18周,3-5小时每周,视频 文档 讨论,工学,3602,http://www.icourse163.org/course/BUAA-238004
75,北京航空航天大学,线性代数启蒙,12周,4小时每周,视频 随堂测验,理学,5313,http://www.icourse163.org/course/BUAA-216002
76,北京航空航天大学,微积分启蒙,15周,4小时每周,视频 随堂测验,理学,2973,http://www.icourse163.org/course/BUAA-217001
77,北京航空航天大学,航空航天概论,8周,3,视频 文档 随堂测验 富文本 讨论,工学,4183,http://www.icourse163.org/course/BUAA-89007
78,北京理工大学,零基础学Python语言CAP,6周,4-6小时每周,视频 文档 随堂测验 富文本 讨论,计算机,34980,http://www.icourse163.org/course/BIT-1002058035
79,北京理工大学,数学竞赛选讲,4周,4小时每周,视频 文档,理学,4448,http://www.icourse163.org/course/BIT-1002194003
80,北京理工大学,计算机辅助设计：参数化造型设计及表达,10周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,工学,2380,http://www.icourse163.org/course/BIT-1001999003
81,北京理工大学,Python机器学习应用,4周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,计算机,30432,http://www.icourse163.org/course/BIT-1001872001
82,北京理工大学,Python科学计算三维可视化,4周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,计算机,9300,http://www.icourse163.org/course/BIT-1001871001
83,北京理工大学,应用光学,14周,3-6小时/周,视频 文档 随堂测验 讨论,工学,2576,http://www.icourse163.org/course/BIT-1001606003
84,北京理工大学,大学物理—力学与热学,10周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,理学,8550,http://www.icourse163.org/course/BIT-46002
85,北京理工大学,机械制图及数字化表达,10周,3-5小时每周,视频 文档 随堂测验 富文本 讨论,工学,10744,http://www.icourse163.org/course/BIT-46005
86,北京理工大学,Python云端系统开发入门,,3-5小时每周,视频 文档 随堂测验 富文本 讨论,计算机,25773,http://www.icourse163.org/course/BIT-1001871002
87,北京理工大学,Python游戏开发入门,8周,1-2小时每周,视频 文档 随堂测验 富文本 讨论,计算机,41618,http://www.icourse163.org/course/BIT-1001873001
88,北京理工大学,Python数据分析与展示,4周,2-3小时每周,视频 文档 随堂测验 富文本 讨论,计算机,22484,http://www.icourse163.org/course/BIT-1001870002
